	1713
all-the-world	1
all-thing	1
all-vnable	1
all-watched	1
all.--my	1
all:--i	1
alla	2
allay	5
allay'd	1
allaying	2
allege	1
allegeance	3
allegiance	6
alley	2
alleys	1
alliance	6
allied	1
allies	5
alligator	1
allot	1
allots	1
allottery	1
allow	19
allow'd	2
allowance	6
allowed	5
allowes	1
allows	2
ally	1
allyance	1
all’s	1
almaine	1
almanack	1
almes	2
almes-houses	1
almightie	2
almost	87
alms	2
aloft	5
alon	42
alone	124
along	41
along:--or	1
alons	1
alonso	8
aloof	6
aloof.--cesario	1
aloofe	3
aloud	9
aloue	1
alowd	3
alpes	1
alphabetical	1
alreadie	9
already	47
also	32
altar	1
altars	1
alter	10
alter'd	4
alter'd!--'no	1
alteration	8
altered	2
altering	1
alternate	5
alters	2
although	30
altitude	2
altogether	11
alwaies	7
alwayes	3
always	10
am	987
amain	1
amaz'd	12
amaze	5
amazed	4
amazedly	3
amazement	7
amazeth	1
amazon	1
amb	2
ambassador	3
ambassadors	7
amber	2
ambiguities	2
ambiguous	1
ambition	25
ambitions	2
ambitious	15
amble	1
ambles	4
ambling	2
ambo	1
ambuscadoes	1
ambush	1
amen	39
amen.--i	1
amend	7
amended	2
amendment	2
amends	12
amerce	1
amiable	5
amid	1
amiens	16
amis	1
amiss	10
amisse	8
amitie	1
amities	2
amity	4
among	33
among'st	1
amongst	5
amorous	12
amort	1
amount	1
amounts	1
amour	1
ample	6
amplify	1
amply	2
an	745
an't	5
anatomiz'd	1
anatomize	2
anatomy	2
ancestor	1
ancestors	9
ancestry	1
anchor'd	2
anchor's	1
anchoring	1
anchors	1
anchyses	1
ancient	40
and	11478
and't	6
and,--do	1
and,--would	1
and--how	1
anda	1
andrew	120
and’s	1
anew	4
ang	4
ang'ring	1
angel	16
angelica	1
angelical	1
angell	13
angelo	1
angels	14
anger	24
anger'd	2
angerly	1
angers	2
anges	1
angle	3
angler	1
angleterre	4
angli	1
angling	1
anglish	1
anglois	5
angred	1
angrie	3
angry	33
anguish	5
angus	6
anie	14
animal	2
animalls	1
animals	4
ankle	1
anna	1
anne	67
annex'd	1
annexment	1
annoint	1
annotated	1
announces	1
annoy	5
annoy'd	1
annoyance	1
annoying	1
annual	2
anoint	1
anointed	4
anon	45
anon.--take	1
anone	3
another	167
another'--who	1
another's	8
anothers	6
anoynted	1
anselmo	1
answer	143
answer'd	13
answerable	2
answere	25
answered	14
answeres	1
answerest	1
answering	1
answers	7
ant	151
antars	1
anth	8
antho	1
anthonie	2
anthonies	1
anthonio	54
anthonio's	3
anthonios	2
anthony	3
antic	4
anticipat'st	1
anticipate	1
anticipates	1
anticipation	1
anticke	2
antidote	1
antiopa	1
antipathy	1
antipodes	1
antique	13
antiquely	1
antiques	1
antiquity	4
antonies	1
antonio	58
antonio's	3
antony	76
antropophague	1
antypodes	1
any	571
any's	1
anyes	1
anyone	20
anything	33
anything--but	1
anywhere	6
an’t	1
ap	2
apace	14
apart	14
apartment	1
ape	8
apes	9
apish	3
apointed	1
apollo	5
apology	2
apoplex'd	1
apostle	1
apoth	4
apothecary	6
appal	1
appall	1
appalls	1
appar	4
apparance	2
apparant	2
apparation	2
apparel	14
apparel'd	1
apparell	5
apparell'd	2
apparelled	1
apparent	4
apparition	5
apparitions	1
apparrell	3
appeal	1
appeale	2
appear	31
appear'd	6
appearance	5
appeard	1
appeare	39
appeared	2
appeares	16
appeareth	1
appearing	7
appears	18
appears:--but	1
appeas'd	1
appease	2
appeer'd	2
appelle	7
appellons	1
appendix	1
appertaine	2
appertaining	2
appertains	1
appertinents	1
appetite	19
appetites	2
applaud	4
applause	4
applauses	1
apple	8
apples	2
appletart	1
appliance	1
applicable	16
applied	1
applies	1
apply	12
applying	1
appoint	4
appointed	7
appointment	1
apprehend	13
apprehended	2
apprehension	6
apprehensions	1
apprehensiue	1
apprend	1
apprendre	1
apprins	1
approach	32
approach'd	2
approaches	3
approaching	2
approbation	2
approch	2
approches	1
approoue	1
appropriation	1
approu'd	3
approue	7
approued	4
approv'd	1
approve	8
approved	1
approves	2
appurtenance	1
appurtenances	1
apricocks	1
april	6
april's	1
aprill	1
apron	1
apt	26
apter	1
aptly	4
aqua	1
aqua-vitae	2
ar	5
arabia	3
arabian	1
arbitrate	1
arbitrating	1
arbitrement	4
arbor	1
arbors	1
arcadia	1
arch	3
arch-mock	1
archbishop	9
archer	1
archers	2
archery	1
archive	65
archive/canadian	1
arden	7
ardour	2
are	1647
argal	3
argier	2
argos	1
argosie	2
argosies	3
argosy	2
argues	5
arguing	2
argument	30
arguments	5
ari	55
ariadne	1
ariel	52
ariel’s	2
aright	6
arion	1
arise	21
arises	1
ariseth	1
arising	1
aristotle's	1
arithmatician	1
arithmetic	2
ark	1
arm	35
arm'd	18
arm's	1
arma	1
arme	24
armed	14
armes	11
armie	2
armies	1
arming	1
armor	3
armorers	1
armour	16
armourers	1
armoury	1
arms	45
army	26
arn	3
aroint	2
arose	1
aroynt	1
arragon	4
arraign	4
arraigning	1
arrand	1
arrangement	3
arrant	10
arras	7
array	14
array'd	1
arrayed	1
arrest	7
arrest,--o	1
arrests	1
arriu'd	7
arriuancie	1
arriue	1
arriv'd	4
arrival	1
arrived	4
arrives	2
arrogance	2
arrow	6
arrowes	2
arrows	6
art	393
art's	1
artemidorus	2
artery	1
arthurs	2
article	8
articles	4
artificial	1
artificiall	2
artillery	1
artimedorus	1
artless	1
arts	7
as	2474
as's	1
as't	1
as-is	5
ascend	4
ascended	1
ascendeth	1
ascii	10
ascribe	1
asham'd	10
ashamed	4
ashes	5
ashore	7
ashwensday	1
asia	1
aside	104
aside!--here	1
ask	42
ask'd	10
askance	2
aske	21
asked	3
asketh	1
asking	5
askt	1
aslant	1
asleep	23
asleepe	11
aspect	10
aspects	1
